data_hora,pressao,temperatura
03/02/2018 17:23,78.267226,120.1573
03/02/2018 17:23,78.301763,120.1562
03/02/2018 17:23,78.336895,120.155
03/02/2018 17:24,78.371431,120.1539
03/02/2018 17:24,78.408005,120.1527
03/02/2018 17:24,78.444382,120.1517
03/02/2018 17:24,78.482083,120.1505
03/02/2018 17:24,78.520432,120.1496
03/02/2018 17:24,78.558414,120.1484
03/02/2018 17:24,78.593329,120.1471
03/02/2018 17:24,78.627962,120.1458
03/02/2018 17:24,78.664848,120.1446
03/02/2018 17:24,78.698603,120.1433
03/02/2018 17:24,78.732389,120.1421
03/02/2018 17:24,78.770685,120.1408
03/02/2018 17:25,78.806096,120.1396
03/02/2018 17:25,78.845052,120.1382
03/02/2018 17:25,78.882154,120.137
03/02/2018 17:25,78.917565,120.1359
03/02/2018 17:25,78.954168,120.1346
03/02/2018 17:25,78.988235,120.1333
03/02/2018 17:25,79.025087,120.1321
03/02/2018 17:25,79.059999,120.1308
03/02/2018 17:25,79.0936,120.1294
03/02/2018 17:25,79.126126,120.1283
03/02/2018 17:25,79.159943,120.127
03/02/2018 17:25,79.193413,120.1258
03/02/2018 17:26,79.225722,120.1246
03/02/2018 17:26,79.259322,120.1232
03/02/2018 17:26,79.289161,120.1219
03/02/2018 17:26,79.321352,120.1205
03/02/2018 17:26,79.347527,120.1192
03/02/2018 17:26,79.379685,120.1178
03/02/2018 17:26,79.407779,120.1162
03/02/2018 17:26,79.433705,120.1149
03/02/2018 17:26,79.463641,120.1134
03/02/2018 17:26,79.49104,120.112
03/02/2018 17:26,79.520792,120.1104
03/02/2018 17:26,79.549816,120.1091
03/02/2018 17:27,79.580347,120.1076
03/02/2018 17:27,79.609122,120.1063
03/02/2018 17:27,79.637681,120.1048
03/02/2018 17:27,79.66768,120.1033
03/02/2018 17:27,79.698027,120.1016
03/02/2018 17:27,79.726899,120.1001
03/02/2018 17:27,79.753582,120.0985
03/02/2018 17:27,79.786399,120.0969
03/02/2018 17:27,79.814858,120.0956
03/02/2018 17:27,79.841822,120.094
03/02/2018 17:27,79.867909,120.0924
03/02/2018 17:27,79.897874,120.0909
03/02/2018 17:28,79.924177,120.0895
03/02/2018 17:28,79.953676,120.0878
03/02/2018 17:28,79.979166,120.0863
03/02/2018 17:28,80.006974,120.0847
03/02/2018 17:28,80.032182,120.0831
03/02/2018 17:28,80.059459,120.0815
03/02/2018 17:28,80.086108,120.0799
03/02/2018 17:28,80.11022,120.0783
03/02/2018 17:28,80.135807,120.0766
03/02/2018 17:28,80.164709,120.075
03/02/2018 17:28,80.188474,120.0736
03/02/2018 17:28,80.218122,120.0721
03/02/2018 17:29,80.243329,120.0706
03/02/2018 17:29,80.269727,120.069
03/02/2018 17:29,80.296406,120.0673
03/02/2018 17:29,80.320518,120.0658
03/02/2018 17:29,80.346319,120.0642
03/02/2018 17:29,80.370679,120.0627
03/02/2018 17:29,80.397358,120.061
03/02/2018 17:29,80.422596,120.0594
03/02/2018 17:29,80.447866,120.0578
03/02/2018 17:29,80.47229,120.0562
03/02/2018 17:29,80.495837,120.0546
03/02/2018 17:29,80.518257,120.053
03/02/2018 17:30,80.547037,120.0512
03/02/2018 17:30,80.573898,120.0497
03/02/2018 17:30,80.598604,120.0481
03/02/2018 17:30,80.62099,120.0466
03/02/2018 17:30,80.647202,120.0448
